accession,filename,url,assembly,file_format,file_format_type,output_type,output_category,dataset
ENCFF631BAG,ENCFF631BAG.tsv,https://www.encodeproject.org/files/ENCFF631BAG/@@download/ENCFF631BAG.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTQ/
ENCFF089THE,ENCFF089THE.tsv,https://www.encodeproject.org/files/ENCFF089THE/@@download/ENCFF089THE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR620NSN/
ENCFF735KKO,ENCFF735KKO.tsv,https://www.encodeproject.org/files/ENCFF735KKO/@@download/ENCFF735KKO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUM/
ENCFF716CWC,ENCFF716CWC.tsv,https://www.encodeproject.org/files/ENCFF716CWC/@@download/ENCFF716CWC.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR110BDY/
ENCFF289HGQ,ENCFF289HGQ.tsv,https://www.encodeproject.org/files/ENCFF289HGQ/@@download/ENCFF289HGQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUL/
ENCFF081NBY,ENCFF081NBY.tsv,https://www.encodeproject.org/files/ENCFF081NBY/@@download/ENCFF081NBY.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUH/
ENCFF461NCD,ENCFF461NCD.tsv,https://www.encodeproject.org/files/ENCFF461NCD/@@download/ENCFF461NCD.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUM/
ENCFF956RID,ENCFF956RID.tsv,https://www.encodeproject.org/files/ENCFF956RID/@@download/ENCFF956RID.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUH/
ENCFF107TNO,ENCFF107TNO.tsv,https://www.encodeproject.org/files/ENCFF107TNO/@@download/ENCFF107TNO.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPX/
ENCFF438QOJ,ENCFF438QOJ.tsv,https://www.encodeproject.org/files/ENCFF438QOJ/@@download/ENCFF438QOJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR369RVN/
ENCFF240OLD,ENCFF240OLD.tsv,https://www.encodeproject.org/files/ENCFF240OLD/@@download/ENCFF240OLD.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR110BDY/
ENCFF500UYD,ENCFF500UYD.tsv,https://www.encodeproject.org/files/ENCFF500UYD/@@download/ENCFF500UYD.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000AAO/
ENCFF121AOF,ENCFF121AOF.tsv,https://www.encodeproject.org/files/ENCFF121AOF/@@download/ENCFF121AOF.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUJ/
ENCFF885NGS,ENCFF885NGS.tsv,https://www.encodeproject.org/files/ENCFF885NGS/@@download/ENCFF885NGS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPX/
ENCFF618DKD,ENCFF618DKD.tsv,https://www.encodeproject.org/files/ENCFF618DKD/@@download/ENCFF618DKD.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR620NSN/
ENCFF092TYT,ENCFF092TYT.tsv,https://www.encodeproject.org/files/ENCFF092TYT/@@download/ENCFF092TYT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR797BPP/
ENCFF565SWE,ENCFF565SWE.tsv,https://www.encodeproject.org/files/ENCFF565SWE/@@download/ENCFF565SWE.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000AAO/
ENCFF597EUV,ENCFF597EUV.tsv,https://www.encodeproject.org/files/ENCFF597EUV/@@download/ENCFF597EUV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR489KNQ/
ENCFF227FMH,ENCFF227FMH.tsv,https://www.encodeproject.org/files/ENCFF227FMH/@@download/ENCFF227FMH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPM/
ENCFF125SJA,ENCFF125SJA.tsv,https://www.encodeproject.org/files/ENCFF125SJA/@@download/ENCFF125SJA.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR620NSN/
ENCFF524OEI,ENCFF524OEI.tsv,https://www.encodeproject.org/files/ENCFF524OEI/@@download/ENCFF524OEI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR110BDY/
ENCFF025DRM,ENCFF025DRM.tsv,https://www.encodeproject.org/files/ENCFF025DRM/@@download/ENCFF025DRM.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000COO/
ENCFF653CDI,ENCFF653CDI.tsv,https://www.encodeproject.org/files/ENCFF653CDI/@@download/ENCFF653CDI.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR362HMX/
ENCFF354NLX,ENCFF354NLX.tsv,https://www.encodeproject.org/files/ENCFF354NLX/@@download/ENCFF354NLX.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTP/
ENCFF743YEB,ENCFF743YEB.tsv,https://www.encodeproject.org/files/ENCFF743YEB/@@download/ENCFF743YEB.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPW/
ENCFF568GAV,ENCFF568GAV.tsv,https://www.encodeproject.org/files/ENCFF568GAV/@@download/ENCFF568GAV.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000BYN/
ENCFF635ALW,ENCFF635ALW.tsv,https://www.encodeproject.org/files/ENCFF635ALW/@@download/ENCFF635ALW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000BYN/
ENCFF281CHW,ENCFF281CHW.tsv,https://www.encodeproject.org/files/ENCFF281CHW/@@download/ENCFF281CHW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR196ARY/
ENCFF355QNL,ENCFF355QNL.tsv,https://www.encodeproject.org/files/ENCFF355QNL/@@download/ENCFF355QNL.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR192NBO/
ENCFF219FYH,ENCFF219FYH.tsv,https://www.encodeproject.org/files/ENCFF219FYH/@@download/ENCFF219FYH.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR851GNB/
ENCFF833OTW,ENCFF833OTW.tsv,https://www.encodeproject.org/files/ENCFF833OTW/@@download/ENCFF833OTW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR424FAZ/
ENCFF180VYS,ENCFF180VYS.tsv,https://www.encodeproject.org/files/ENCFF180VYS/@@download/ENCFF180VYS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR489KNQ/
ENCFF666BUQ,ENCFF666BUQ.tsv,https://www.encodeproject.org/files/ENCFF666BUQ/@@download/ENCFF666BUQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUM/
ENCFF851HTL,ENCFF851HTL.tsv,https://www.encodeproject.org/files/ENCFF851HTL/@@download/ENCFF851HTL.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR568YRP/
ENCFF185CZL,ENCFF185CZL.tsv,https://www.encodeproject.org/files/ENCFF185CZL/@@download/ENCFF185CZL.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR797BPP/
ENCFF396TVG,ENCFF396TVG.tsv,https://www.encodeproject.org/files/ENCFF396TVG/@@download/ENCFF396TVG.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR568YRP/
ENCFF983VCS,ENCFF983VCS.tsv,https://www.encodeproject.org/files/ENCFF983VCS/@@download/ENCFF983VCS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPM/
ENCFF017RWJ,ENCFF017RWJ.tsv,https://www.encodeproject.org/files/ENCFF017RWJ/@@download/ENCFF017RWJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR362HMX/
ENCFF205HKT,ENCFF205HKT.tsv,https://www.encodeproject.org/files/ENCFF205HKT/@@download/ENCFF205HKT.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CPW/
ENCFF341SCS,ENCFF341SCS.tsv,https://www.encodeproject.org/files/ENCFF341SCS/@@download/ENCFF341SCS.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR510QZW/
ENCFF431VDJ,ENCFF431VDJ.tsv,https://www.encodeproject.org/files/ENCFF431VDJ/@@download/ENCFF431VDJ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTN/
ENCFF353SBP,ENCFF353SBP.tsv,https://www.encodeproject.org/files/ENCFF353SBP/@@download/ENCFF353SBP.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTK/
ENCFF118OFK,ENCFF118OFK.tsv,https://www.encodeproject.org/files/ENCFF118OFK/@@download/ENCFF118OFK.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTQ/
ENCFF244VME,ENCFF244VME.tsv,https://www.encodeproject.org/files/ENCFF244VME/@@download/ENCFF244VME.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTQ/
ENCFF496RIW,ENCFF496RIW.tsv,https://www.encodeproject.org/files/ENCFF496RIW/@@download/ENCFF496RIW.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CTK/
ENCFF305UEN,ENCFF305UEN.tsv,https://www.encodeproject.org/files/ENCFF305UEN/@@download/ENCFF305UEN.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CQD/
ENCFF897GZQ,ENCFF897GZQ.tsv,https://www.encodeproject.org/files/ENCFF897GZQ/@@download/ENCFF897GZQ.tsv,GRCh38,tsv,,gene quantifications,quantification,/experiments/ENCSR000CUL/
